Original,Modified
ABIES,ABIES
ACNEGUNA,ACERX
ACPENSYL,ACERX
ACRUBRUM,ACERX
ACSACNUM,ACERX
ACSACRUM,ACERX
ACERX,ACERX
ALCRISPA,ALNUSX
ALRUBRA,ALNUSX
ALRUGOSA,ALNUSX
ALNUSX,ALNUSX
AMBROSIA,AMBROSIA
AMORPHA,AMORPHA
ANACARDI,ANACARDI
APIACEAE,APIACEAE
AQUIFOLI,AQUIFOLI
ARCEUTHOBI,ARCEUTHOBI
ARECACEAE,ARECACEAE
ARMERIA,ARMERIA
ARTEMISIA,ARTEMISIA
ASTERX,ASTERX
ASTERCICHO,ASTERX
BETULA,BETULA
BORAGINACEAE,BORAGINACEAE
BOTRYCHIUM,BOTRYCHIUM
BRASSICACEAE,BRASSICACEAE
CACTACEAE,CACTACEAE
CAMPANULACEA,CAMPANULACEA
CAPRIFOLIA,CAPRIFOLIA
CARYA,CARYA
CARYOPHYLL,CARYOPHYLL
CASTANEA,CASTANEA
CEANOTHUS,CEANOTHUS
CELTIS,CELTIS
CEPHALANTH,CEPHALANTH
CERCOCAR,CERCOCAR
CHENOAMX,CHENOAMX
CHRYSOLEP,CHRYSOLEP
CORNUS,CORNUS
CORYLUS,CORYLUS
CUPRESSA,CUPRESSA
CYPERACE,CYPERACE
DODECATH,DODECATH
DRYAS,DRYAS
ELAEAGNX,ELAEAGNX
EPHEDRA,EPHEDRA
EQUISETU,EQUISETU
ERILEDCH,ERICALES
ERIVACCI,ERICALES
ERICACEX,ERICALES
ERICALES,ERICALES
ERIOGONUM,ERIOGONUM
EUPHORB,EUPHORB
FABACEAE,FABACEAE
FAGUS,FAGUS
FRAXNIGR,FRAXINUX
FRAXPNAM,FRAXINUX
FRAXINUX,FRAXINUX
IVA,AMBROSIA
JUGCINER,JUGLANSX
JUGNIGRA,JUGLANSX
JUGLANSX,JUGLANSX
KOENISLD,KOENISLD
LAMIACEAE,LAMIACEAE
LARIXPSEU,LARIXPSEU
LARREA,LARREA
LILIACEAE,LILIACEAE
LIQUIDAM,LIQUIDAM
LIRIODEN,LIRIODEN
LYCOANNO,LYCOPODX
LYCOCLAV,LYCOPODX
LYCOCOMP,LYCOPODX
LYCOSELA,LYCOPODX
LYCOPODX,LYCOPODX
MAGNOLIACE,MAGNOLIACE
MALVACEAE,MALVACEAE
MORACEAX,MORACEAX
MYRICACX,MYRICACX
NYSSA,NYSSA
ONAGRACEAE,ONAGRACEAE
OSMUNDACEA,OSMUNDACEA
OSTRYCAR,OSTRYCAR
OXYRIA,RUMEXOXYRIA
PAPAVERX,PAPAVERX
PEDICULARI,SCROPHUL
PICGLAUC,PICEAX
PICMARIA,PICEAX
PICEAX,PICEAX
PINDIPLO,PINUSX
PINHAPLO,PINUSX
PINUSX,PINUSX
PLANTAGINX,PLANTAGINX
PLATANUS,PLATANUS
POACEAE,POACEAE
POLEMONI,POLEMONI
POLYGONAX,POLYGONAX
POLYGBIS,POLYGONAX
POLYGONMX,POLYGONAX
POLYGVIV,POLYGONAX
POLYPOD,POLYPOD
POPULUS,POPULUS
POTENTILLA,ROSACEAX
PROSOPIS,PROSOPIS
PTERIDIUM,PTERIDIUM
QUERCUS,QUERCUS
RANUNCUL,RANUNCUL
RHAMNACEAE,RHAMNACEAE
ROSACEAX,ROSACEAX
RUBIACEAE,RUBIACEAE
RUBUS,RUBUS
RUMEX,RUMEXOXYRIA
RUMEOXYR,RUMEXOXYRIA
SALIX,SALIX
SANGUI,SANGUI
SARCOBATUS,SARCOBATUS
SXFRACER,SXFRAGAX
SXFRAHIE,SXFRAGAX
SXFRAOPP,SXFRAGAX
SXFRATRI,SXFRAGAX
SXFRAGAX,SXFRAGAX
SCROPHUL,SCROPHUL
SELAGINE,SELAGINE
SHEPHERDIA,SHEPHERDIA
SPHAGNUM,SPHAGNUM
TAXODIUM,TAXODIUM
TAXUS,TAXUS
THALICTRUM,THALICTRUM
TILIA,TILIA
TSUGHETE,TSUGHETE
TSUGMERT,TSUGMERT
TSUGAX,TSUGAX
ULMUS,ULMUS
URTICACX,URTICACX
XANTHIUM,AMBROSIA